payload,platform,launch,monitors,sensor,spacecraft-orbits,hq,area_monitored,lifetime_to_first_replacement,avg_lifetime,replacement_costs,missile_range,missile_interception,system_cost,probability_of_success
laser,air,wc,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,380,0.98,3838,0.8155155047634
inc,sea,ak&jap&eu,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,6642.58,0.8201761981560001
inc,gnd,ak&jap&med&hw,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,8368.58,0.8464203744616124
inc,gnd&air&sea,ak&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,6422.58,0.8767415834375707
inc,gnd&air&sea,ak&med&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,8122.58,0.8460115465857322
kinetic,gnd&air,ak&med&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,125,0.75,7488,0.7485308395042511
inc,gnd,jap&wc&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,7518.58,0.8805381985974594
kinetic,air&sea,med&hw,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,125,0.75,6612,0.7083632662964998
inc,gnd,ak&jap&med&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,10218.58,0.8379739777307995
inc,gnd&sea,ak&jap&hw&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,8742.58,0.8460395011638836
inc,gnd,ak&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,6018.58,0.8723871069416911
inc,gnd,ak&jap&wc&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,8518.58,0.8811330079885561
kinetic,air&sea,wc&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,125,0.75,4962,0.69590461588425
inc,gnd&air,ak&med,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,5498.58,0.85054634945145
inc,gnd,ak&jap&med&wc&hw&eu,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,9618.58,0.8464410593766363
inc,gnd,ak&jap&med&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,9368.58,0.8379561707169964
inc,air&sea,ak&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,5672.58,0.8330779165375259
inc,air,ak&med&wc&hw,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,7448.58,0.8810431056308385
inc,gnd&sea,ak&jap&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,7992.58,0.8456799074063573
inc,gnd&air&sea,ak&jap&med&wc&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,10622.58,0.8464315898373512
inc,sea,jap,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,5892.58,0.7719546803759999
inc,gnd,jap&med&wc,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,disp,11772800,1.5,10.35,7933.1,1000,0.9,7868.58,0.8376628787249456
kinetic,sea,ak&jap&wc&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,cent,5972800,4,14.142857142857142,7721.5,125,0.75,8482,0.7191918890091901
inc,gnd&air&sea,ak&wc&eu,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,6922.58,0.8880902689084631
inc,sea,jap&med,awac&grf&sat,,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,mob,11772800,1.5,10.35,7933.1,1000,0.9,6992.58,0.81873981252
laser,gnd&sea,jap&wc&hw,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,380,0.98,6982,0.929920330003707
inc,gnd,hw&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,1000,0.9,4108,0.8337449124675
laser,air,eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,380,0.98,3538,0.7755152447699999
kinetic,gnd,jap&med,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,mob,5972800,4,14.142857142857142,7721.5,125,0.75,7158,0.703604526384375
inc,gnd&sea,ak&jap&med&wc&hw,awac&grf&sat,ir,cube-heo|cube-leo|cube-meo|prim-heo|prim-leo|prim-meo|,cent,11772800,1.5,10.35,7933.1,1000,0.9,11142.58,0.8897407223302153
kinetic,gnd&air,jap&wc&eu,awac&grf&sat,,prim-heo|prim-leo|prim-meo|,disp,5972800,4,14.142857142857142,7721.5,125,0.75,6338,0.7115489822515219
